Geneid	count
0610005C13Rik	0.00
0610007C21Rik	580.00
0610007L01Rik	866.00
0610007N19Rik	23.00
0610007P08Rik	386.00
0610007P14Rik	686.00
0610007P22Rik	279.00
0610008F07Rik	0.00
0610009B14Rik	0.00
0610009B22Rik	207.00
0610009D07Rik	627.00
0610009E02Rik	14.32
0610009L18Rik	37.00
0610009O20Rik	629.00
0610010B08Rik	171.31
0610010F05Rik	3644.00
0610010K14Rik	319.00
0610010O12Rik	99.00
0610011F06Rik	88.00
0610011L14Rik	830.00
0610012G03Rik	578.00
0610012H03Rik	0.00
0610025J13Rik	0.00
0610030E20Rik	341.03
0610031J06Rik	534.00
0610031O16Rik	0.00
0610037L13Rik	312.00
0610037P05Rik	681.00
0610038B21Rik	1.05
0610038L08Rik	0.00
0610039K10Rik	0.00
0610040B10Rik	11.00
0610040F04Rik	1.00
0610040J01Rik	105.00
0610043K17Rik	0.00
0910001L09Rik	397.00
100043387	282.66
1100001G20Rik	0.00
1110001A16Rik	233.00
1110001J03Rik	122.00
1110002B05Rik	862.00
1110002L01Rik	142.22
1110002N22Rik	97.00
1110003E01Rik	1555.00
1110004E09Rik	368.00
1110004F10Rik	2412.85
1110005A03Rik	200.00
1110006O24Rik	10.00
1110007C09Rik	28.00
1110008E08Rik	0.00
1110008F13Rik	952.00
1110008J03Rik	279.00
1110008L16Rik	203.40
1110008P14Rik	567.00
1110012J17Rik	1447.00
1110012L19Rik	233.00
1110014N23Rik	792.00
1110015O18Rik	94.00
1110017D15Rik	44.00
1110017F19Rik	0.00
1110018G07Rik	4402.00
1110018J18Rik	47.00
1110019D14Rik	19.00
1110020A21Rik	6.00
1110020C17Rik	6.00
1110020G09Rik	626.00
1110021J02Rik	323.20
1110021L09Rik	396.00
1110028C15Rik	251.31
1110028F11Rik	0.00
1110028F18Rik	0.00
1110031I02Rik	69.29
1110032A03Rik	259.00
1110032A04Rik	13.00
1110032F04Rik	228.00
1110034A24Rik	172.99
1110034B05Rik	204.00
1110034G24Rik	85.00
1110035M17Rik	20.00
1110036E04Rik	0.00
1110037F02Rik	1087.00
1110038B12Rik	120.00
1110038D17Rik	343.00
1110038F14Rik	206.00
1110046J04Rik	25.00
1110049F12Rik	633.00
1110050K14Rik	7.00
1110051M20Rik	1385.00
1110054M08Rik	18.32
1110054O05Rik	488.00
1110057K04Rik	1035.00
1110058L19Rik	188.00
1110059E24Rik	303.00
1110059G10Rik	227.00
1110059M19Rik	11.00
1110065P20Rik	336.64
1110067D22Rik	2643.00
1190002F15Rik	12.00
1190002H23Rik	172.00
